"air3-link","air3-link href","highlight","highlight 2","air3-badge-tagline","sr-only 3","air3-rating-value-text","air3-popper-content","air3-badge-tagline 2","air3-badge-tagline 4","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","pr-6","air3-token 6"
"Simple Software/ Form Creation Project","https://www.upwork.com/jobs/Simple-Software-Form-Creation-Project_~021915129304222004509/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","4.97 Stars, based on 63 feedbacks","$100K+","United States","Fixed price","Intermediate","Est. budget:","$600.00","We’re looking for someone who can build a scan for us, identical to ours, here’s a write up for this project, https://docs.google.com/document/d/1FP2ClM984B_baTYrus5InF1VmxQsGivoQYE37BPBqCg/edit?usp=sharing 

Our  who created this page is no longer working with us, and can’t make changes like we need to, so we’re looking to have it re-created.

Please apply for this project if you can do this task, and give us a quote of how much you will charge to do this project, and how long it will take to be completed.

Thanks in advance for your interest in this project.","developer","","","Web Development","","","","","","5 to 10",""
"Add Stripe Subs, Debug & Improve Site: Fix Firebase Auth/Storage, Prep for Vercel Deployment","https://www.upwork.com/jobs/Add-Stripe-Subs-Debug-Improve-Site-Fix-Firebase-Auth-Storage-Prep-for-Vercel-Deployment_~021915138638727876096/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Star, based on 1 feedbacks","$200+","GBR","Fixed price","Expert","Est. budget:","$400.00","Hello,

I'm looking for someone to help me debug my website and guide me through integrating Stripe for payments, as well as assist with the final deployment on Vercel.

This is a self-built project designed as a job application hub. It allows users to input their information and receive tailored resumes, cover letters, and follow-up emails. The site uses OpenAI, Firebase, and other APIs.

While most core features are functioning, I’m currently experiencing issues with adding Stripe subscription payments and deploying the site to Vercel. There may also be bugs related to Firebase authentication and storage that need attention.

I’m seeking someone with experience in:

Stripe integration (subscriptions)

Firebase (auth & storage)

Debugging and deployment (Github to Vercel)

Looking forward to working with someone who can help take this project across the finish line.","","","","Web Development","JavaScript","React","HTML","CSS","Java","5 to 10","Node.js"
"Foundation Setup with SQL & Node.js","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-Foundation-Setup-with-SQL-amp-Node_~021915109632805245015/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Fixed price","Expert","Est. budget:","$500.00","We operate several restaurants, each with an on-premise (non-cloud, legacy) POS system that stores data locally and is not readily accessible. We're launching a new tech company and, as a foundation, we need you to design and build a scalable, futureproof backend and database architecture.

Your job starts with setting up this backend—think robust cloud database design, modern architecture, and API planning. Next, you'll need to automate regular syncing of data from each restaurant's legacy POS: connect, import, clean, filter, deduplicate, and normalize that data. Lastly, you'll ensure our new database is easily and quickly accessible, with well-designed APIs for near real-time data access—ready for future custom apps.

In summary:
Build the backend backbone for our restaurant group—cloud database architecture, automated POS data sync/cleaning, and scalable API endpoints for all future product phases.","","","","Web Development","MySQL","Node.js","Database Design","Amazon Web Services","PostgreSQL","15 to 20",""
"Desarrollo de Aplicación Web para Control de Fichajes","https://www.upwork.com/jobs/Desarrollo-Aplicaci-Web-para-Control-Fichajes_~021915126458172831005/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Spain","Fixed price","Entry Level","Est. budget:","$400.00","📄 Descripción del proyecto:
Estamos buscando un desarrollador web   con experiencia en APIs RESTful para construir una aplicación SaaS escalable orientada al control de fichajes y gestión de empleados en empresas.

🎯 Objetivo del proyecto:
Crear una plataforma web profesional, segura y adaptable que permita:

Registrar entradas y salidas laborales desde estaciones de fichaje digitales.

Gestionar usuarios con diferentes roles (Empleado, RRHH, Administrador).

Visualizar información personalizada según el tipo de usuario.

Ampliar funciones en el futuro (como integración con servicios de consultoría para empresas con usuarios propios).

Buscamos a alguien autónomo, responsable y proactivo, con capacidad para tomar decisiones técnicas y evolucionar junto al proyecto. Valoramos especialmente la experiencia construyendo aplicaciones limpias, escalables y bien organizadas.

🛠️ Tecnologías clave requeridas:
Node.js + Express.js (API RESTful)

PostgreSQL (estructura de datos relacional)

JavaScript, HTML, CSS (frontend básico sin frameworks por ahora)

JWT para autenticación

Gestión de roles y control de acceso

📦 Información adicional:
Proyecto a largo plazo

Se trabajará por fases con precio fijo (primera fase ya definida)

Si la colaboración es positiva, se continuará con futuras mejoras, interfaz avanzada, integración móvil, etc.

Buena comunicación y documentación técnica son valoradas

💰 Primera fase (fijo):
Implementar autenticación con JWT

Crear sistema básico de roles (Empleado, RRHH, Admin)

Backend de fichajes (registro, validación de entrada/salida)

Conexión funcional con PostgreSQL

💸 Presupuesto estimado para esta fase: 400 €
⏱️ Tiempo estimado: 2 a 3 semanas

¿Te interesa formar parte de este proyecto con futuro real? ¡Envíanos tu propuesta!","full","stack","","Full-Stack Development","PostgreSQL","Node.js","HTML5","Web Application","ExpressJS","5 to 10","JavaScript"
"Finish/Complete a semi-completed website and add authentication and stripe payment","https://www.upwork.com/jobs/Finish-Complete-semi-completed-website-and-add-authentication-and-stripe-payment_~021915110674317446656/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Star, based on 1 feedbacks","$200+","GBR","Fixed price","Expert","Est. budget:","$400.00","Job Title: -  Needed to Finalize AI-Powered Resume Builder Website (Firebase, Stripe, Vercel)

Job Description:

Hello,

I’m seeking an experienced -  to help finalize and deploy a nearly completed (but buggy) web application. The website allows users to generate custom resume templates, cover letters, and follow-up emails based on their input, utilizing OpenAI's API, Firebase services, and other integrated APIs.

The core functionality is in place, but there are a few outstanding tasks:

Authentication Fixes: Resolve current issues with Firebase Authentication.

Stripe Integration: Implement and configure a monthly subscription payment system using Stripe.

Bug Fixing: Identify and debug existing coding errors to ensure smooth functionality.

Firebase Optimization: Improve Firebase storage, authentication and database performance.

Deployment: Assist in the final deployment of the website to Vercel.

I’m looking for someone with proven expertise in the following:

Firebase (Authentication, Firestore, Storage)

Stripe (Subscription billing)

OpenAI API integration

Frontend/backend debugging and optimization

Deployment to Vercel or similar platforms

Please include relevant examples of similar projects you’ve worked on, particularly those involving user authentication, payment integration, and AI-powered functionality.

Looking forward to working with a reliable and detail-oriented expert to bring this project to completion.","Full","Stack","Developer","","GitHub","Web Application","Tailwind CSS","Web Design","Stripe","Less than 5","NodeJS Framework"
"Web  Needed for Ongoing Projects","https://www.upwork.com/jobs/Web-span-class-highlight-Developer-span-Needed-for-Ongoing-Projects_~021915097025132341405/?referrer_url_path=/nx/search/jobs/","Developer","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Ethiopia","Hourly: $15.00 - $35.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are looking for a talented web  to assist with various web  tasks including building new features, fixing bugs, and optimizing performance. The ideal candidate should have experience in both front-end and back-end . You will collaborate with our team to create responsive and user-friendly websites. Strong communication skills and attention to detail are essential. If you are passionate about web  and eager to tackle new challenges, we want to hear from you!","developer","development","development","Web Development","WordPress","JavaScript","CSS","HTML","","10 to 15",""
"Website not unlocking subscription after user subscribed using stripe","https://www.upwork.com/jobs/Website-not-unlocking-subscription-after-user-subscribed-using-stripe_~021915147015265259607/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","Hello!

I am using Replit to code. My website isn't giving users their subscription plan after the paid on Stripe (stripe recognizes there is an error). I have tried integrating Zapier with no luck . 

Jeffery L.","","","","AI Development","Python","AI Bot","Data Entry","Artificial Intelligence","Make.com","5 to 10","Automation"
"Platform  Specialist Needed","https://www.upwork.com/jobs/Platform-span-class-highlight-Development-span-Specialist-Needed_~021915160246974149917/?referrer_url_path=/nx/search/jobs/","Development","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Mexico","Hourly: $15.00 - $35.00","Expert","Est. time:","1 to 3 months, Not sure","We are seeking an experienced Platform  Specialist to join our team. The ideal candidate will have a proven track record in designing, developing, and deploying robust platforms tailored to our business needs. Responsibilities include collaborating with cross-functional teams to define platform requirements, implementing features, and optimizing system performance. If you're passionate about technology and have the skills to drive platform innovations, we want to hear from you!","Development","","","Web Development","Web Design","JavaScript","PHP","WordPress","Finance","10 to 15",""
"StockX Bidding Tool","https://www.upwork.com/jobs/StockX-Bidding-Tool-span-class-highlight-Development-span_~021915102198570153245/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Hourly: $15.00 - $25.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled  to create a bidding tool specifically designed for mass implementing bids on StockX. The ideal candidate should have experience in building automated tools and a strong understanding of StockX's bidding mechanisms. This project requires attention to detail and the ability to  a user-friendly interface. If you’re passionate about e-commerce and automation, we’d love to hear from you!","developer","develop","","","JavaScript","API","API Integration","PHP","Web Application","Less than 5",""
"Experienced Laravel  Needed for Web Application Project","https://www.upwork.com/jobs/Experienced-Laravel-span-class-highlight-Developer-span-Needed-for-Web-Application-Project_~021915100029809607931/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Hourly: $5.00 - $10.00","Expert","Est. time:","1 to 3 months, 30+ hrs/week","We are seeking a highly skilled Laravel  with over 5 years of experience to join our team. The ideal candidate will be proficient in Laravel, MySQL, and VueJS, and have a strong understanding of RESTful APIs. You will be responsible for developing, maintaining, and enhancing our web applications. If you are passionate about coding and have a proven track record in delivering high-quality projects, we would love to hear from you!","Developer","","","Web Development","Vue.js","PHP","Laravel","JavaScript","API","Less than 5",""
"Bug Fixing and Launch Preparation for Lovable.dev Project","https://www.upwork.com/jobs/Bug-Fixing-and-Launch-Preparation-for-Lovable-dev-Project_~021915116882677129181/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$3K+","GBR","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","We are seeking a skilled  to help us fix existing bugs on our lovable.dev project and ensure it is ready for launch. The ideal candidate will have a strong attention to detail and the ability to work efficiently under deadlines. You will be responsible for identifying, troubleshooting, and resolving bugs, as well as conducting final tests to guarantee the seamless functionality of the project. If you are passionate about delivering quality work and can commit to tight timelines, we would love to hear from you!

I have tried to build my website via cursor, windsurf and lovable but i keep hitting big errors. i can share my github repository for you to review if needed.

I have also attached the project requirements project. You may want to start afresh??

Need someone who is experienced and wont mess me about. Thanks","developer","","","Web Development","JavaScript","WordPress","Android","PHP","","5 to 10",""
"Web  and Hosting - Wordpress","https://www.upwork.com/jobs/Web-span-class-highlight-Development-span-and-Hosting-Wordpress_~021915100170284430621/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 4.7 out of 5.","4.7","4.68 Stars, based on 8 feedbacks","$900+","United States","Hourly","Expert","Est. time:","1 to 3 months, 30+ hrs/week","Web  and Hosting - Wordpress

We're currently working on a government contract and we're looking for a subcontractor.

TECHNICAL SUBMITTAL

I.	Objective.

The (CLIENT) is seeking to redesign and potentially host its public facing website to modernize and enhance its appearance and the presentation of content, with an anticipated go live of 9 months after the start date.

II.	Nature and Scope of the Project. 

The CLIENT’s current website was built internally and is currently hosted by an outside vender with a maintenance support contract. As a result, the outside vendor coordinates all technical upgrades and updates.

The new website will be designed and built by the selected Contractor.  The CLIENT may elect to receive the finished product for hosting in its own environment or by another source but may also elect to contract with the selected Contractor to host the completed website.

The new website does not need to reflect the style of the CLIENT’s current website.  It should be graphically redesigned to modernize and enhance the appearance of the pages. From an administrator perspective, creating and editing web content will be simplified to reduce web administration and support time, as well as overall site management time. The new website will be responsively designed, providing an equitable user experience on multiple platforms/environments.

Site administrators will have the ability to seamlessly upload, store, and display pages and other associated files for user viewing/download on the site. In addition, administrators will have a range of options for displaying content via multiple page templates. Content will be separate from presentation to allow for changes to the site’s graphic design over time, without the need to rewrite web code/content. Built into the site will be a system that enables the incorporation of visual displays of content, to include clickable county maps, data tables, pictures, videos, surveys, calendars, and dashboards. Additionally, the CLIENT’s social media platforms will be integrated into the site, expanding user participation and engagement with the CLIENT. From structure to content, the new website will meet state and federal requirements for public information and accessibility.

The selected Contractor and the CLIENT will collaborate throughout the  process to ensure the overall vision for the new website is obtained.  

III.	Requirements. 

The vendor will:
•	Utilize WordPress and Gutenberg blocks on a Pantheon platform. 
•	Have a solution in place to facilitate the data received by constituents through various online forms directly inputted into the Office of Attorney General’s CMS platforms on a daily basis.
•	 an accessible new website that provides visitors with the best and most efficient user experience possible. This will support the CLIENT in organizing and optimizing webpages, improving site navigation by making information and resources easier to find. Throughout this  phase, CLIENT reserves the right to add, alter or modify features as deemed appropriate by CLIENT to achieve the overall objectives of the design.
•	Facilitate data migration from the current system to the new system, which will be a standard process of set routines and workflow that may include re-keying information but could also allow cut/paste of current content to expedite the migration. This includes content, images, PDFs, videos and any other variables.  
•	Provide thorough training to select CLIENT staff that will also be available as recordings. If the new website is to be hosted by the Contractor, the training must be continuous per site upgrades/developments.
•	Include a Service plan which outlines technical website support and resolutions to issues during standard business hours (EST). Pending an emergency, the CLIENT must have access to a representative(s) that can provide/facilitate support. Online forums, training, skeletons, and comprehensive online documentation must be readily available.  
o	If/when the website must be down for maintenance, it must take place during overnight/early morning hours (EST) at a mutually agreed upon, specific timeframe. 
o	If/when the website is unexpectedly down, the Contractor will work to resolve the issue within the same day with the CLIENT.
o	Disaster Recovery and/or Pandemic recovery commitments must be clearly stated, including a description of Contractor’s capability to perform a complete restoration in the event of a disaster.
•	Facilitate timely software/system updates, and maintain site and data security. Additionally, audit trails of edits, session management, and SSL compatibility are necessary.
•	Describe controls for record retention and data destruction of data past retention periods, as well as how confirmation of data destruction will be provided.
•	Confirm that the CLIENT’s data will, under no circumstances, be directly or indirectly transmitted or downloaded to, stored in, or accessible from any location that is not subject to the laws and jurisdiction of the United States.
•	Describe if the proposed hosting platform is a dedicated single tenant or shared (multi-tenant) server or cloud instance and describe the security controls related to the hosting platform. 
•	Specify any software/product that must be purchased by the CLIENT to support the site in the event the CLIENT chooses to host the site itself.
•	Insure all redirects are in place for changed URLs to sustain existing SEO value of pages.

The new website will:
•	Allow various devices to equitably view website content via responsive design.
•	Meet state and federal requirements for public information and accessibility.
•	Be compatible with all operating systems.

The new website’s CMS (WordPress) will:
•	Provide a standard set of features and functionality to easily create, view, maintain, support, and produce website content on multiple device platforms, as well as provide a framework for adding custom functions to improve the versatility of the website.
•	Offer administrators a seamless process to upload large files/documents, imagery, and other content to the website for public access.
•	Have the ability to expand/extend the original framework into a more comprehensive web solution.
•	Allow for social media feeds, a web-based translation manager, and a form function. 
•	Feature administrative tools that are user-friendly and flexible with common word processing functions for editing and formatting, adding links and graphics, and overall page management. 

The CLIENT will:
•	Manage/facilitate all content-specific updates (i.e., page text, imagery) to the website once it is live, even if Contractor hosted.
•	Reserve the right/ownership to all content displayed on the website. If the new website is to be hosted by the Contractor, upon expiration of the contract or at any time at the written request of the CLIENT, all data must be returned to the CLIENT in a format agreed to by the CLIENT.

Work on the new website shall begin upon execution and delivery of the purchase order. The new website will go live 9 months after a mutually agreed upon date determined by the CLIENT and the Contractor.   To go live, the CLIENT must be confident that the solution will meet the majority/priority needs for its website and associated management – this will be achieved by testing, demonstrating, and vetting the solution with a project management team within the CLIENT. The CLIENT must then be confident that after participating in training facilitated by the Contractor, it will be able to easily manage and update content on the website moving forward.  If the finished product is being delivered to the CLIENT (as opposed to being hosted by the Contractor), a mutually agreeable schedule must be determined for migrating the finished product.

IV.	Statement of the Project.  State in succinct terms your understanding of the project presented, or the service required by this RFQ.

V.	Qualifications.

A.	Company Overview.  Provide an overview of the company, including basic company information, ownership and management team overview, a brief company history, and a company mission statement if one exists.

B.	Prior Experience.  Include experience in website design, /build, maintenance, and hosting.  Experience shown should be work done by individuals who will be assigned to this project as well as that of your company.  Projects referred to must be identified and the name of the customer shown, including the name, address, and telephone number of the responsible official of the customer, company, or agency who may be contacted. 
 
C.	Personnel.  Include the number of professional personnel who will be engaged in the work.  Indicate where these personnel will be physically located during the time they are engaged in the Project.  For key personnel, include the employee’s name and, through a resume or similar document, the Project personnel’s education and experience in website design, /build, maintenance, and hosting.    Indicate the responsibilities each individual will have in this Project and how long each has been with your company.  

D.	Subcontractors: Provide a subcontracting plan for all subcontractors who will be assigned to the Project.  The selected Contractor is prohibited from subcontracting or outsourcing any part of this Project without the express written approval from the Commonwealth.  Upon award of the purchase order resulting from this RFQ, subcontractors included in the quote submission are deemed approved. For each position included in your subcontracting plan provide:

1.	Name of subcontractor;
2.	Address of subcontractor;
3.	Number of years worked with the subcontractor;
4.	Number of employees by job category to work on this project;
5.	Description of services to be performed;
6.	What percentage of time the staff will be dedicated to this project;
7.	Geographical location of staff; and
8.	Resumes (if appropriate and available).

The Contractor’s subcontractor information shall include (through a resume or a similar document) the employees’ names, education and experience in the services outlined in this RFQ. Information provided shall also indicate the responsibilities each individual will have in this Project and how long each has been with subcontractor’s company.  

VI.	Training. Indicate recommended training of agency personnel.  Include the duration of the training program, place of training, curricula, training materials to be used, number and frequency of sessions, and number and level of instructors. 
 
VII.	Work Plan.  Describe in narrative form your technical plan for accomplishing the work using the deliverables as your reference point.  Indicate the number of person hours allocated to each task.  Include a project plan, or similar type display, time related, showing each event.  If more than one approach is apparent, comment on why you chose this approach.
•	Design
•	/Build/Migration from current site
•	Training
•	Hosting
•	Maintenance/Support

VIII.	Reports and Project Control.

A.	The proposal the Contractor provides to the CLIENT must include a comprehensive project plan that identifies proposed tasks, milestones, and a timeline.  Said project plan must include an accessibility plan.

B.	Prior to the start of the project, the CLIENT and Contractor must establish a regular meeting schedule. These meetings will offer insight into the project, status updates, opportunities for questions to be asked and answered, and collaborative work opportunities, among other topics. These meetings should take place at least once per week at a mutually agreed upon day/time.

C.	Issues/emergencies shall not wait until the next meeting – these should be communicated immediately, and a course of action will be determined by the Contractor and CLIENT. 

D.	The Contractor must provide a weekly written (email) report of the work performed, and the work planned for the upcoming week. 

E.	The CLIENT will lead the direction of the overall project. 

F.	The primary point of contact for this project from the CLIENT will be the Creative Director, Donnajean Szukalski. The Contractor will identify a primary point of contact prior to the start of the contract.


IX.	Award - Best Value.

•	Best Value Refers to the process of selecting the quote which provides the greatest value to the agency based on evaluating and comparing all pertinent criteria, including cost, so that the Contractor whose overall proposal best suits the agency’s needs is selected for each individual project; 

X.	Cost/Quote Submittal

For this RFQ, the quote must remain valid for 120 days or until a purchase order is fully executed. The Contractor shall make no other distribution of its quote to any other Contractor or Commonwealth official or Commonwealth consultant.

The cost spreadsheet is attached.

If you know you are NOT a prompt communicator and utilize a lot of excuses then please do not bid. We repeat: If you know you are NOT a prompt communicator then please do not bid. Promptness is crucial in how we operate which is why we operate 24 hours per day. There are so many other projects on this platform so please do not bid on this project if you know you cannot abide by our terms. Thank you so much!","Development","development","Develop","Web Development","WordPress","PHP","Web Design","","","15 to 20",""
"-  to Build User Portal with RSS Press Release Syndication for BlockWire","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-span-class-highlight-Developer-span-Build-User-Portal-with-RSS-Press-Release-Syndication-for-BlockWire_~021915089528709255255/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Fixed price","Intermediate","Est. budget:","$500.00","About Us:
BlockWire is a Web3 media and marketing firm helping blockchain and digital asset companies amplify their message through media syndication. We’re building a user-facing portal that allows clients to log in, submit press releases, and have their content distributed via auto-generated RSS feeds.

Project Scope:
We’re looking for a  to build a lightweight, scalable MVP that includes:
Key Features:
User Login & Authentication


Sign up / log in / password reset


Basic profile management


Firebase Auth, Supabase, or similar OK


User Dashboard


Clean UI with basic navigation


""Submit Press Release"" form (title, summary, body, optional image, tags)


View past submissions


RSS Feed Generation


Auto-generate RSS feed in XML format for submitted content


One global feed + potential to add user-specific feeds later


Should conform to standard RSS spec and be easily plug-in to other systems


Admin Panel (Basic)


Admin view to approve/reject submitted content


Only approved content appears in the live RSS feed


Admin controls only visible to designated login(s)


Deployment & Hosting


Help deploy to Vercel, Firebase Hosting, or another low-cost solution


Ensure basic performance, security, and scalability best practices are followed



Preferred Tech  (but open to suggestions):
Frontend: Next.js + Tailwind CSS


Backend: Node.js with Express OR Firebase Functions


Database: Firestore or Supabase/PostgreSQL


Auth: Firebase Auth or Supabase


RSS Feed: Use Node.js RSS libraries like rss, xmlbuilder, or custom XML templates


Hosting: Vercel / Firebase Hosting



Deliverables:
Functional MVP with working login, dashboard, press release submission, admin approval, and RSS feed output


Basic mobile responsiveness


Deployment and instructions for handoff


Clean, readable code with basic documentation



Ideal Candidate:
Solid experience building user portals and basic content management systems


Familiar with RSS/XML generation or willing to implement from standard spec


Strong communicator, responsive, and can deliver within 3–4 weeks


Bonus: familiarity with Web3 space, crypto media, or press distribution platforms","developer","Stack","","Web Development","JavaScript","WordPress","API","PHP","API Integration","5 to 10","CSS"
"Senior -  & Equity Partner Wanted","https://www.upwork.com/jobs/Senior-span-class-highlight-Full-span-span-class-highlight-Stack-span-span-class-highlight-Developer-span-amp-Equity-Partner-Wanted_~021915080342637645312/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Star, based on 1 feedbacks","$17","United Kingdom","Hourly","Expert","Est. time:","More than 6 months, 30+ hrs/week","We’re Blackbox Dev—a small but mighty team that ships web apps, AI tools and modular templates in days, not months. We’ve got the tech, processes and Upwork presence; you bring your drive, time and proven expertise, working exclusively through our agency to help us both win big.

What’s in it for you
✅ Unlimited Connects budget so you can bid on any project without ever worrying about costs
✅  backing from our design, DevOps, QA and project-management teams—focus purely on code
✅ An equity stake in Blackbox Dev, sharing profits and shaping our future together

What’s in it for us
✅ Your energy and track record boost our credibility and help us land higher-value projects
✅ Your exclusive commitment on Upwork cements our joint reputation and growth
✅ As partners, we’ll pool strengths and scale the agency together—your success drives ours

If this resonates, just reply with your resume and links to your top 2–3 projects, and tell us briefly

-- why you’re ready to shift from solo freelancing to a true agency partnership
-- what equity/share arrangement would excite you the most","Full","","","Web Development","Next.js","TypeScript","AWS Lambda","JavaScript","API","Less than 5","React"
"GrapesJS Customization for UX-First Web Editor","https://www.upwork.com/jobs/GrapesJS-Customization-for-First-Web-Editor_~021915113142771774749/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Hourly","Intermediate","Est. time:","1 to 3 months, Hours to be determined","We're building a cannabis dispensary e-commerce platform and need help with the no-code web-editor. We're going to utilize GRAPESJS as the base and need a talented front-end engineer or - dev to clean up and customize it, both visually and the back-end to feel as smooth and intuitive as Framer with drag-and-drop simplicity. 

🧠 We're looking for someone who will directly with a UX Designer. We have a fully designed component library in Figma and 2 UX-Driven templates to use with GrapesJS for retailers. 
🔧We need someone to:
-Customize the GrapesJS UI: Tailor panels, drag-drop behavior, edit modals, and sidebars to match a clean, modern interface (inspired by Framer/Webflow)
-Modularize block components using Tailwind or semantic class structure
-Integrate a dynamic content system (eventually tied to POS systems)
-Add basic SEO & Analytics controls (meta titles, schema, goal tracking, etc.)
-Optimize for mobile preview and performance

🧰 Nice-to-Have Skills
-Experience customizing GrapesJS deeply (not just using defaults)
-Understanding and experience with e-commerce, CMS Design, APIs, and POS Systems. 

🔧 Tech We’re Using:
-GrapesJS (customized)
-TailwindCSS (design tokens/classes)
-APIs (Flowhub & Dutchie)

🌿Start Date: ASAP
Project Type: MVP-first, with potential for ongoing work
Payment: Hourly or fixed (we’re flexible for the right fit)
Send over a few links to relevant past work, especially if you’ve customized GrapesJS or built internal editors/design tools before.","full","stack","","Web Development","HTML","CSS","Tailwind CSS","API","Tailwind UI","5 to 10","JavaScript"
"Minor Dashboard Updates for Field Management Web App","https://www.upwork.com/jobs/Minor-Dashboard-Updates-for-Field-Management-Web-App_~021915117888284059659/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 136 feedbacks","$1K+","United States","Hourly: $5.00 - $5.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Hello,

I'm looking for a skilled UI/UX or frontend  to make some minor changes to the dashboard of my Field Management Web Application. The dashboard is already built, but I need some tweaks and updates to improve its usability and visual consistency.

Project Details:

Make minor visual and layout updates

Improve spacing, alignment, and responsiveness if needed

Clean up any minor design issues to match existing styles

Estimated time: 3-4 hours

What I’m Looking For:

Someone with good UI/UX and frontend skills (especially in Figma and/or frontend code)

Good attention to detail

Able to start immediately and complete quickly

Strong communicator

💰 Hourly Rate: $5/hour

Please apply with:

A few lines about similar dashboard/UI work you’ve done

How soon you can start and your availability.","developer","","","Web Development","PHP","JavaScript","WordPress","CSS","HTML","5 to 10","Web Design"
"Laravel","https://www.upwork.com/jobs/Laravel-span-class-highlight-Developer-span_~021915087630156959232/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 4.9 out of 5.","4.9","4.93 Stars, based on 122 feedbacks","$30K+","United Kingdom","Hourly: $13.00 - $15.00","Entry Level","Est. time:","1 to 3 months, Less than 30 hrs/week","Looking for an expert Laravel  to build simple listing website system which will include 
- Backend/Dashboard/Admin using Laravel
- API
- Front End (it will use API), using any js or whatever framework
- Payment gateway integration

We can only pay $15/hr.

You MUST have experience in all of the stuff mentioned above.

We are looking for fast coders, if you are slow in coding don't bother applying. 

You must have completed at least 3  fledge Larvel project on your own.

You must be able to show us your projects backend screenshot/video walkthrough.  

Only freelancers need to apply. Agencies/companies/middlemen/dalals will be rejected immediately.","developer","full","","Web Development","Laravel","PHP","API","MySQL","JavaScript","10 to 15","API Integration"
"Script Upload and Database Creation Specialist","https://www.upwork.com/jobs/Script-Upload-and-Database-Creation-Specialist_~021915149526298595415/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.9 out of 5.","4.9","4.88 Stars, based on 7 feedbacks","$600+","United Kingdom","Fixed price","Intermediate","Est. budget:","$40.00","We are looking for a skilled freelancer to help us upload a pre-made script and create a corresponding database. The ideal candidate should have experience in script handling and database management. You will be responsible for ensuring that the script functions seamlessly with the database setup. If you have a strong background in these areas and can deliver quality work promptly, we'd love to hear from you!","","","","","PHP","Python","MySQL","Laravel","","10 to 15",""
"Deploy Python Script on Render.com","https://www.upwork.com/jobs/Deploy-Python-Script-Render-com_~021915089394409940581/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Nigeria","Hourly","Intermediate","Est. time:","Less than 1 month, 30+ hrs/week","I am looking for a skilled freelancer to deploy an existing Python script on Render.com. The ideal candidate should have experience with Render's deployment process and be able to complete this task within a few hours. You must also ensure that the script runs smoothly post-deployment. Please only apply if you can submit the work today.","","","","","Python","JavaScript","API","PHP","Amazon Web Services","Less than 5",""
